                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0645,                0.59337,                 1.1522,                0.82466,                0.82769,                0.86023,                0.50459,                 1.3309,                0.61153,                 1.3882,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0676,                0.59588,                 1.1472,                0.82596,                0.80114,                0.85214,                0.50668,                 1.3307,                0.60881,                 1.3804,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0666,                0.58657,                 1.1465,                0.81678,                0.82846,                0.87103,                0.51232,                 1.3237,                0.59474,                 1.3785,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.0664,                 0.5894,                 1.1364,                0.91951,                0.77381,                0.86928,                0.52151,                 1.3218,                0.59574,                 1.3721,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.0502,                0.57976,                 1.1387,                0.82572,                0.81992,                0.88121,                  0.515,                 1.3372,                0.60797,                 1.3913,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.0352,                0.56729,                 1.1294,                0.82462,                0.83063,                0.88058,                0.50731,                 1.3438,                0.61319,                 1.3959,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.0484,                0.57004,                 1.1315,                0.81119,                0.84438,                0.87719,                 0.5053,                 1.3626,                0.60305,                 1.4117,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0418,                0.56857,                 1.1227,                 0.8108,                0.82435,                0.84898,                0.50567,                 1.3498,                0.60225,                 1.4003,               0.000703,               0.000703,               0.000703
                     32,                 1.0321,                0.55892,                  1.126,                0.82138,                0.79453,                0.84197,                0.49522,                 1.3527,                0.60756,                 1.3953,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.0219,                0.54779,                  1.113,                0.80052,                0.79803,                0.83543,                0.49591,                 1.3469,                0.60711,                 1.4023,              0.0006832,              0.0006832,              0.0006832
                     34,                  1.027,                0.54871,                 1.1297,                0.79688,                0.82372,                 0.8519,                0.50708,                 1.3518,                 0.6108,                  1.404,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.0156,                0.55104,                 1.1147,                0.79387,                0.81735,                0.85231,                0.50654,                 1.3602,                0.60252,                 1.4189,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.0168,                0.55052,                 1.1145,                0.81933,                0.77936,                0.84377,                0.50015,                 1.3657,                0.60749,                 1.4242,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0074,                0.54644,                 1.1119,                0.86371,                0.78465,                0.85787,                0.51323,                 1.3532,                0.60619,                 1.4109,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0095,                0.54094,                 1.1041,                0.81219,                 0.7958,                0.85962,                0.50932,                 1.3562,                0.59246,                 1.4188,              0.0006337,              0.0006337,              0.0006337
                     39,                0.98834,                 0.5253,                 1.0969,                0.76609,                0.81105,                0.83308,                0.49202,                 1.3695,                0.62529,                 1.4384,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0055,                0.53791,                 1.1068,                 0.8169,                 0.8116,                0.84224,                0.49354,                 1.3768,                0.61307,                 1.4374,              0.0006139,              0.0006139,              0.0006139
                     41,                0.98843,                0.52999,                 1.0947,                0.81827,                0.83326,                0.85933,                0.50593,                 1.3555,                0.60352,                  1.407,               0.000604,               0.000604,               0.000604
                     42,                 0.9944,                 0.5295,                  1.098,                0.80615,                 0.8128,                0.85181,                0.50728,                 1.3725,                0.61435,                 1.4372,              0.0005941,              0.0005941,              0.0005941
                     43,                0.99848,                0.53522,                 1.1028,                0.78854,                0.88677,                0.85969,                0.51181,                 1.3778,                0.60925,                 1.4296,              0.0005842,              0.0005842,              0.0005842
                     44,                0.98616,                0.52726,                 1.0992,                0.78372,                0.86379,                0.85926,                0.51269,                 1.3579,                0.60818,                 1.4109,              0.0005743,              0.0005743,              0.0005743
                     45,                0.97348,                 0.5156,                 1.0978,                 0.8096,                0.80455,                0.85231,                0.50348,                  1.368,                0.60376,                 1.4238,              0.0005644,              0.0005644,              0.0005644
                     46,                0.95845,                0.51678,                 1.0869,                0.77074,                0.82887,                0.84479,                0.50183,                  1.366,                0.61497,                 1.4277,              0.0005545,              0.0005545,              0.0005545
                     47,                0.96891,                0.51536,                  1.096,                0.76236,                 0.8638,                0.86156,                0.50862,                 1.3733,                0.60478,                 1.4433,              0.0005446,              0.0005446,              0.0005446
                     48,                0.95986,                0.50749,                  1.079,                0.84333,                0.79448,                0.85875,                0.51147,                 1.3574,                0.60878,                 1.4195,              0.0005347,              0.0005347,              0.0005347
                     49,                0.96511,                0.50939,                 1.0793,                0.83682,                0.79551,                0.86304,                0.50955,                 1.3601,                0.61081,                 1.4273,              0.0005248,              0.0005248,              0.0005248
                     50,                0.95861,                0.51382,                 1.0909,                0.78368,                0.80236,                0.84061,                0.50215,                  1.367,                0.61346,                 1.4301,              0.0005149,              0.0005149,              0.0005149
                     51,                0.94302,                0.50061,                 1.0824,                0.77119,                0.80504,                0.83794,                0.50068,                 1.3773,                0.60386,                 1.4422,               0.000505,               0.000505,               0.000505
                     52,                0.95342,                0.50306,                 1.0747,                0.78537,                 0.7925,                0.83369,                0.49695,                 1.3905,                0.60478,                 1.4623,              0.0004951,              0.0004951,              0.0004951
                     53,                0.95487,                0.50964,                 1.0796,                0.79676,                0.79715,                0.83876,                0.49523,                 1.3695,                 0.6154,                 1.4368,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.9529,                 0.5037,                 1.0818,                0.80205,                0.80513,                0.85018,                0.50365,                 1.3704,                0.60397,                  1.441,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.9398,                 0.4974,                 1.0738,                0.81764,                0.80442,                0.84467,                0.50109,                 1.3824,                0.60408,                 1.4485,              0.0004654,              0.0004654,              0.0004654
                     56,                0.93228,                0.49631,                 1.0752,                0.81256,                0.79974,                0.84145,                0.50025,                 1.3824,                0.60457,                 1.4557,              0.0004555,              0.0004555,              0.0004555
                     57,                0.94417,                0.49894,                 1.0774,                0.81653,                0.79121,                0.85098,                0.49686,                 1.3821,                0.60857,                 1.4495,              0.0004456,              0.0004456,              0.0004456
                     58,                0.94242,                0.49951,                 1.0707,                0.77142,                0.84321,                0.84914,                0.49566,                 1.3849,                0.61327,                 1.4609,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.9305,                0.49355,                 1.0696,                0.81609,                0.80665,                0.84163,                0.49219,                 1.3837,                0.60009,                  1.457,              0.0004258,              0.0004258,              0.0004258
                     60,                0.92284,                0.48984,                 1.0679,                0.83239,                0.80373,                0.84635,                0.50083,                 1.3894,                0.60667,                 1.4726,              0.0004159,              0.0004159,              0.0004159
                     61,                0.92963,                 0.4883,                 1.0731,                 0.8503,                 0.7781,                0.84697,                0.50251,                 1.3768,                0.60421,                 1.4582,               0.000406,               0.000406,               0.000406
                     62,                0.92588,                0.49356,                 1.0692,                0.79378,                 0.8022,                0.84287,                0.50821,                  1.364,                0.60356,                 1.4466,              0.0003961,              0.0003961,              0.0003961
                     63,                0.90919,                0.48145,                 1.0561,                0.79353,                0.81631,                0.85003,                0.51529,                 1.3682,                0.60836,                 1.4512,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.9356,                0.49285,                  1.069,                0.78876,                0.80493,                0.83606,                0.51519,                 1.3612,                0.60875,                 1.4436,              0.0003763,              0.0003763,              0.0003763
                     65,                0.91152,                0.48449,                 1.0638,                0.82648,                 0.7987,                0.85468,                0.50797,                 1.3742,                0.61698,                 1.4558,              0.0003664,              0.0003664,              0.0003664
                     66,                0.91032,                0.47755,                 1.0613,                0.88009,                0.76356,                0.84695,                0.51041,                 1.3841,                0.60945,                 1.4691,              0.0003565,              0.0003565,              0.0003565
                     67,                0.90732,                0.47858,                 1.0568,                0.85653,                0.76555,                0.84059,                0.51125,                 1.3821,                0.60591,                 1.4708,              0.0003466,              0.0003466,              0.0003466
                     68,                0.91259,                0.48429,                  1.061,                0.82688,                0.77058,                0.84082,                0.51244,                 1.3744,                0.60876,                  1.463,              0.0003367,              0.0003367,              0.0003367
                     69,                0.91282,                0.48237,                 1.0543,                0.86411,                0.76129,                0.83952,                0.50763,                 1.3888,                0.60534,                 1.4749,              0.0003268,              0.0003268,              0.0003268
                     70,                0.91093,                0.48056,                 1.0566,                0.84875,                0.77033,                 0.8441,                0.50753,                 1.3952,                0.61053,                 1.4834,              0.0003169,              0.0003169,              0.0003169
                     71,                0.90282,                0.47802,                 1.0588,                0.81633,                0.77395,                0.84338,                0.51111,                 1.3809,                0.60842,                 1.4797,               0.000307,               0.000307,               0.000307
                     72,                0.91291,                 0.4809,                 1.0569,                0.80957,                0.77997,                 0.8353,                0.50713,                 1.3845,                 0.6141,                 1.4696,              0.0002971,              0.0002971,              0.0002971
                     73,                0.89986,                0.47637,                 1.0568,                 0.8721,                0.77735,                0.84597,                 0.5178,                 1.3757,                0.60854,                 1.4676,              0.0002872,              0.0002872,              0.0002872
                     74,                0.88287,                0.46818,                 1.0492,                0.88376,                0.77104,                0.84723,                0.51613,                  1.388,                 0.6112,                 1.4774,              0.0002773,              0.0002773,              0.0002773
                     75,                0.89215,                0.47153,                 1.0476,                0.82532,                0.79958,                0.86201,                 0.5157,                 1.3917,                0.60369,                 1.4737,              0.0002674,              0.0002674,              0.0002674
                     76,                0.88981,                0.46432,                 1.0504,                0.80909,                0.78729,                0.85037,                0.51209,                 1.3854,                0.60331,                 1.4752,              0.0002575,              0.0002575,              0.0002575
                     77,                0.88695,                0.46712,                 1.0391,                0.88738,                0.76883,                0.85065,                0.50588,                 1.3983,                0.61347,                 1.4885,              0.0002476,              0.0002476,              0.0002476
                     78,                0.88998,                 0.4661,                 1.0458,                 0.8895,                0.75335,                0.84036,                0.50691,                 1.3846,                 0.6118,                 1.4726,              0.0002377,              0.0002377,              0.0002377
                     79,                0.88353,                0.46952,                 1.0522,                0.87569,                0.76406,                0.86026,                0.51239,                 1.3903,                0.61052,                 1.4783,              0.0002278,              0.0002278,              0.0002278
                     80,                0.87764,                0.46874,                 1.0501,                0.83486,                0.78615,                0.85531,                0.50878,                 1.3882,                0.61685,                  1.481,              0.0002179,              0.0002179,              0.0002179
                     81,                0.87359,                0.46159,                  1.035,                0.81338,                0.79408,                0.85977,                0.51018,                 1.3923,                0.60987,                  1.493,               0.000208,               0.000208,               0.000208
                     82,                0.88789,                0.46639,                 1.0496,                0.84316,                0.79269,                0.85514,                0.50498,                 1.3936,                0.60399,                 1.4958,              0.0001981,              0.0001981,              0.0001981
                     83,                0.87363,                0.45965,                 1.0378,                0.89189,                0.73583,                0.83605,                0.50798,                 1.3877,                0.60748,                 1.4887,              0.0001882,              0.0001882,              0.0001882
                     84,                0.87857,                0.46668,                 1.0461,                0.82562,                0.76858,                0.83403,                0.50604,                 1.3939,                 0.6073,                 1.4874,              0.0001783,              0.0001783,              0.0001783
                     85,                0.87958,                0.46503,                 1.0408,                0.83011,                0.77075,                0.84237,                0.50681,                 1.3946,                0.60683,                 1.4903,              0.0001684,              0.0001684,              0.0001684
                     86,                0.86954,                0.46335,                  1.038,                0.83516,                0.79444,                0.85827,                 0.5108,                 1.3921,                0.60146,                 1.4893,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.8708,                0.46492,                 1.0352,                0.81829,                0.77359,                0.84392,                0.50915,                 1.3989,                0.60631,                 1.4951,              0.0001486,              0.0001486,              0.0001486
                     88,                0.86565,                 0.4599,                 1.0398,                0.88863,                0.76262,                0.84922,                0.50773,                  1.398,                0.60351,                 1.4871,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.8752,                0.45653,                 1.0389,                0.87887,                0.76678,                0.84739,                0.50977,                 1.4009,                0.60796,                 1.4858,              0.0001288,              0.0001288,              0.0001288
                     90,                0.86713,                0.45727,                 1.0389,                0.87105,                0.77033,                0.85034,                0.51434,                 1.3958,                0.60764,                  1.483,              0.0001189,              0.0001189,              0.0001189
                     91,                0.88235,                0.43214,                 1.0353,                0.80109,                0.80476,                0.85613,                0.50646,                 1.3992,                0.61176,                 1.5092,               0.000109,               0.000109,               0.000109
                     92,                0.85236,                0.41801,                 1.0244,                0.82427,                 0.7956,                0.85783,                0.50897,                 1.3949,                0.61018,                 1.4992,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.84997,                0.41195,                 1.0231,                0.81031,                0.78836,                0.84826,                0.50424,                 1.3996,                0.61364,                 1.5052,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 0.8442,                0.40728,                 1.0147,                0.77343,                0.84751,                0.85427,                0.50759,                 1.3992,                0.61125,                 1.5044,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.82425,                0.39653,                 1.0088,                0.83576,                0.76115,                0.83594,                0.50795,                 1.4005,                0.61145,                 1.5031,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 0.8355,                0.40046,                 1.0161,                0.79419,                0.77385,                0.83268,                0.50582,                 1.3954,                0.60944,                 1.4956,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.82786,                0.39589,                 1.0041,                0.75803,                0.83025,                0.83663,                 0.5066,                 1.3975,                0.60229,                 1.5016,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.82499,                0.39602,                 1.0022,                0.76089,                0.81819,                0.83657,                0.50767,                 1.3943,                0.60659,                 1.4964,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.82446,                0.39678,                 1.0081,                0.76331,                0.83236,                0.84377,                 0.5103,                 1.3961,                 0.6057,                 1.4996,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.83769,                0.40023,                 1.0109,                0.75693,                0.83875,                 0.8427,                0.50967,                  1.395,                0.60571,                 1.4966,               1.99e-05,               1.99e-05,               1.99e-05
