                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5949,                  2.407,                 1.6123,                0.42975,                0.45988,                 0.4429,                0.24207,                 1.4273,                 1.4271,                 1.6221,               0.067264,             0.00033067,             0.00033067
                      2,                 1.3914,                 1.2651,                 1.4179,                0.78864,                 0.6119,                0.63327,                  0.363,                 1.3454,                 1.0098,                 1.4838,               0.034257,             0.00065743,             0.00065743
                      3,                 1.3072,                 1.0152,                 1.3328,                0.64909,                0.70607,                0.71027,                0.40317,                 1.3301,                0.84211,                  1.431,              0.0012443,             0.00097759,             0.00097759
                      4,                 1.2705,                0.89163,                 1.2863,                0.66213,                0.70375,                0.76056,                0.43187,                 1.3427,                0.76427,                 1.4313,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2432,                0.81355,                 1.2541,                0.73718,                0.80065,                0.80047,                0.47366,                 1.3231,                0.70853,                 1.3972,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2155,                0.77894,                 1.2372,                0.74997,                0.83366,                0.84128,                0.48486,                 1.3235,                0.69106,                 1.3869,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2134,                0.74898,                 1.2288,                0.77142,                0.83314,                0.84811,                0.48553,                 1.3387,                 0.6817,                 1.3954,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.199,                0.74068,                 1.2122,                0.77445,                0.84125,                 0.8291,                0.48986,                 1.3134,                0.66254,                 1.3794,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1818,                0.71592,                 1.2099,                0.79881,                0.83694,                0.84918,                0.50379,                 1.3218,                0.64536,                 1.3718,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1812,                0.70122,                 1.2112,                0.79857,                0.83579,                0.85403,                0.49665,                 1.3124,                 0.6553,                 1.3668,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1701,                0.68787,                 1.1978,                0.79362,                0.80019,                0.83918,                0.49547,                 1.3273,                0.65162,                 1.3802,               0.000901,               0.000901,               0.000901
                     12,                 1.1679,                0.67634,                  1.202,                0.77914,                0.81115,                0.85377,                0.50743,                 1.2989,                0.65128,                  1.362,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1549,                0.66131,                  1.186,                0.79134,                0.82077,                0.83405,                0.48606,                 1.3384,                0.63654,                 1.3903,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1382,                0.66579,                 1.1849,                 0.8488,                0.79897,                0.86321,                0.50963,                 1.3055,                0.63022,                 1.3632,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1247,                0.64832,                 1.1791,                0.87523,                0.78008,                0.87977,                0.51405,                 1.3363,                0.62742,                 1.3922,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.1261,                0.64681,                 1.1712,                0.81247,                0.79922,                 0.8533,                0.50506,                 1.3203,                0.63045,                 1.3624,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.1283,                0.64466,                 1.1771,                0.82601,                 0.8194,                0.87546,                0.51059,                 1.3347,                0.61983,                 1.3894,              0.0008416,              0.0008416,              0.0008416
                     18,                  1.102,                0.62292,                 1.1653,                0.81807,                0.85125,                0.86758,                 0.5076,                 1.3407,                0.61679,                 1.3936,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.1173,                0.63124,                  1.163,                0.82194,                0.85417,                0.86683,                0.51386,                 1.3273,                0.60867,                 1.3687,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.1017,                0.61682,                 1.1673,                0.78969,                 0.8014,                 0.8432,                0.49635,                 1.3293,                0.61657,                 1.3741,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0957,                0.60924,                 1.1593,                0.83471,                0.82183,                0.87778,                0.51555,                 1.3167,                0.60814,                 1.3748,               0.000802,               0.000802,               0.000802
                     22,                   1.08,                0.60486,                 1.1517,                0.79024,                0.83918,                 0.8697,                 0.5223,                 1.3257,                0.60281,                 1.3749,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0901,                0.60717,                 1.1509,                0.80923,                0.80624,                0.84228,                0.49574,                   1.34,                0.62464,                 1.3965,              0.0007822,              0.0007822,              0.0007822
