                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99394,                0.52776,                 1.0978,                0.86022,                0.80548,                0.87772,                0.50801,                 1.3687,                0.60613,                 1.4503,              0.0006634,              0.0006634,              0.0006634
                     36,                0.98646,                0.53086,                 1.1055,                0.82884,                0.83088,                 0.8876,                0.51794,                  1.366,                0.61299,                 1.4305,              0.0006535,              0.0006535,              0.0006535
                     37,                0.97724,                0.51914,                 1.0977,                0.85593,                0.80705,                0.88613,                 0.5113,                 1.3812,                0.60934,                 1.4474,              0.0006436,              0.0006436,              0.0006436
                     38,                0.97691,                0.52078,                 1.0828,                0.93838,                0.78312,                0.88983,                0.52396,                 1.3469,                0.59598,                 1.4077,              0.0006337,              0.0006337,              0.0006337
                     39,                0.96377,                 0.5101,                 1.0819,                0.86609,                0.80933,                0.87969,                0.50754,                 1.3741,                0.59558,                 1.4425,              0.0006238,              0.0006238,              0.0006238
                     40,                0.97583,                0.52317,                 1.0998,                0.90757,                 0.7926,                0.88124,                0.50678,                 1.3651,                0.60035,                 1.4407,              0.0006139,              0.0006139,              0.0006139
                     41,                0.96459,                0.51217,                 1.0844,                0.89654,                0.81039,                0.89103,                0.50701,                 1.3695,                0.59875,                 1.4498,               0.000604,               0.000604,               0.000604
                     42,                0.95816,                0.51137,                 1.0826,                0.80336,                0.83393,                0.87522,                0.50571,                 1.3644,                0.59686,                 1.4397,              0.0005941,              0.0005941,              0.0005941
                     43,                0.96086,                0.50171,                 1.0794,                0.92809,                0.79858,                0.90494,                0.51031,                 1.3626,                0.58884,                 1.4377,              0.0005842,              0.0005842,              0.0005842
                     44,                0.94772,                0.50687,                 1.0779,                0.92385,                0.80765,                 0.8909,                 0.5092,                 1.3801,                0.60085,                 1.4634,              0.0005743,              0.0005743,              0.0005743
                     45,                0.93133,                0.49428,                 1.0766,                 0.9356,                0.78708,                 0.8962,                0.50322,                 1.3719,                0.59698,                 1.4725,              0.0005644,              0.0005644,              0.0005644
                     46,                 0.9425,                0.49181,                 1.0719,                0.91542,                0.78294,                0.89476,                 0.5189,                  1.379,                0.60741,                 1.4638,              0.0005545,              0.0005545,              0.0005545
                     47,                0.95405,                0.50477,                 1.0828,                0.91723,                0.78299,                0.88238,                0.50656,                 1.3875,                 0.6041,                 1.4719,              0.0005446,              0.0005446,              0.0005446
                     48,                0.92662,                0.48453,                 1.0631,                0.87086,                0.81016,                  0.881,                0.50942,                 1.3737,                0.60218,                 1.4634,              0.0005347,              0.0005347,              0.0005347
                     49,                0.92626,                0.48625,                 1.0654,                0.91046,                0.79449,                0.89089,                0.50841,                  1.374,                0.60015,                 1.4656,              0.0005248,              0.0005248,              0.0005248
                     50,                0.92802,                0.48902,                 1.0681,                 0.8946,                0.79916,                0.88368,                0.51374,                 1.3574,                 0.5866,                 1.4464,              0.0005149,              0.0005149,              0.0005149
                     51,                0.91695,                0.47922,                 1.0659,                0.86833,                0.81025,                0.88218,                0.51212,                 1.3693,                0.59316,                 1.4626,               0.000505,               0.000505,               0.000505
                     52,                0.91308,                0.47552,                   1.06,                0.92605,                0.80178,                 0.8929,                0.51313,                 1.3734,                0.59452,                 1.4709,              0.0004951,              0.0004951,              0.0004951
                     53,                0.92037,                0.47657,                 1.0656,                0.88713,                0.79776,                0.88845,                0.51345,                  1.371,                0.59472,                 1.4742,              0.0004852,              0.0004852,              0.0004852
                     54,                0.92256,                0.48471,                 1.0627,                   0.88,                0.79362,                0.89253,                 0.5145,                 1.3573,                0.58966,                 1.4612,              0.0004753,              0.0004753,              0.0004753
                     55,                0.91377,                0.48138,                  1.057,                0.87957,                0.80501,                0.89497,                0.50902,                 1.3886,                0.59551,                 1.5007,              0.0004654,              0.0004654,              0.0004654
                     56,                0.91078,                0.47801,                   1.06,                0.86434,                0.80957,                0.88175,                0.51418,                 1.3797,                0.59306,                 1.4853,              0.0004555,              0.0004555,              0.0004555
                     57,                0.91245,                0.48375,                 1.0613,                 0.8551,                0.81297,                0.89355,                0.51297,                  1.385,                0.59124,                 1.4898,              0.0004456,              0.0004456,              0.0004456
                     58,                0.90522,                0.47321,                  1.054,                0.89297,                0.78296,                0.89936,                0.51904,                 1.3615,                0.59201,                 1.4626,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.8956,                0.46987,                   1.05,                0.88076,                0.79883,                0.89042,                0.51555,                 1.3744,                0.59542,                 1.4735,              0.0004258,              0.0004258,              0.0004258
                     60,                0.88993,                0.46667,                 1.0501,                0.85749,                0.80542,                0.87692,                  0.512,                 1.3764,                0.60297,                 1.4824,              0.0004159,              0.0004159,              0.0004159
                     61,                0.89887,                 0.4717,                 1.0516,                0.90106,                0.79886,                0.90395,                0.51744,                 1.3808,                0.60432,                 1.4818,               0.000406,               0.000406,               0.000406
                     62,                0.89179,                0.46615,                 1.0488,                0.89712,                0.80496,                0.89706,                0.51594,                 1.3823,                0.60221,                 1.4849,              0.0003961,              0.0003961,              0.0003961
                     63,                0.88245,                0.45883,                  1.041,                0.89834,                0.78975,                0.88507,                 0.5125,                 1.3732,                0.59863,                 1.4705,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.8822,                 0.4613,                 1.0452,                0.88991,                0.78851,                 0.8843,                0.50388,                  1.387,                0.60796,                 1.4902,              0.0003763,              0.0003763,              0.0003763
                     65,                0.87819,                 0.4622,                 1.0461,                0.91891,                0.78741,                0.88189,                0.50425,                 1.3863,                 0.6067,                 1.4983,              0.0003664,              0.0003664,              0.0003664
                     66,                0.88267,                0.46366,                 1.0462,                0.91088,                0.79007,                 0.8907,                0.50534,                 1.3773,                0.59596,                 1.4737,              0.0003565,              0.0003565,              0.0003565
                     67,                0.89269,                0.46502,                  1.046,                0.89262,                0.79405,                0.88063,                0.51112,                 1.3812,                0.60502,                 1.4853,              0.0003466,              0.0003466,              0.0003466
                     68,                0.86922,                0.45901,                 1.0315,                0.87164,                 0.7948,                0.88625,                0.50817,                 1.3725,                0.60191,                 1.4764,              0.0003367,              0.0003367,              0.0003367
                     69,                 0.8777,                0.45864,                 1.0403,                0.88846,                0.78369,                0.88153,                0.50595,                 1.3796,                0.60816,                  1.485,              0.0003268,              0.0003268,              0.0003268
                     70,                0.87605,                0.45674,                  1.039,                0.86564,                0.79682,                0.87611,                0.49524,                 1.3863,                0.60627,                 1.4887,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.8761,                0.45964,                 1.0411,                0.86516,                0.79601,                0.87313,                0.51085,                 1.3877,                0.61152,                 1.5084,               0.000307,               0.000307,               0.000307
                     72,                0.86501,                0.45427,                 1.0397,                 0.8761,                0.79755,                0.87368,                0.50863,                 1.3824,                  0.603,                 1.4971,              0.0002971,              0.0002971,              0.0002971
                     73,                0.86173,                 0.4557,                 1.0375,                0.88865,                0.78837,                0.88313,                0.51123,                  1.387,                0.59959,                 1.4993,              0.0002872,              0.0002872,              0.0002872
                     74,                0.85953,                0.44902,                 1.0317,                0.86923,                0.79406,                0.87579,                0.50375,                 1.3889,                0.60569,                 1.5035,              0.0002773,              0.0002773,              0.0002773
                     75,                0.86081,                0.44871,                 1.0326,                0.90144,                0.78196,                0.87592,                 0.5045,                 1.3881,                0.59782,                  1.495,              0.0002674,              0.0002674,              0.0002674
                     76,                0.83922,                0.43869,                 1.0281,                0.90232,                0.78447,                  0.876,                0.50581,                 1.3851,                0.60722,                 1.4897,              0.0002575,              0.0002575,              0.0002575
                     77,                0.85353,                0.44874,                 1.0278,                0.89942,                0.79016,                0.87958,                0.51081,                 1.3939,                0.60748,                 1.5006,              0.0002476,              0.0002476,              0.0002476
                     78,                0.85336,                0.44844,                 1.0257,                0.86768,                 0.8057,                 0.8788,                0.51662,                 1.3873,                0.60311,                  1.501,              0.0002377,              0.0002377,              0.0002377
                     79,                0.84966,                0.44532,                 1.0296,                0.87818,                0.79839,                0.87682,                0.50964,                 1.3858,                0.60032,                 1.5022,              0.0002278,              0.0002278,              0.0002278
                     80,                0.85988,                0.45026,                 1.0383,                0.89932,                 0.7831,                0.87235,                0.50377,                  1.384,                 0.5995,                 1.5045,              0.0002179,              0.0002179,              0.0002179
                     81,                0.85243,                0.44263,                 1.0234,                0.90739,                0.79142,                0.87381,                0.50392,                 1.3937,                0.60454,                 1.5098,               0.000208,               0.000208,               0.000208
